StartDate,SleptAt,AwokeAt,Duration
26/06/2014,"June 27, 2014 at 12:25a.m.",27/06/2014 07:00:00,395
27/06/2014,"June 28, 2014 at 01:16a.m.",28/06/2014 09:24:00,488
28/06/2014,"June 29, 2014 at 03:58a.m.",29/06/2014 15:12:00,674
29/06/2014,"June 30, 2014 at 03:48a.m.",30/06/2014 12:25:00,517
30/06/2014,"July 01, 2014 at 03:50a.m.",01/07/2014 10:04:00,374
01/07/2014,"July 02, 2014 at 02:42a.m.",02/07/2014 08:43:00,361
02/07/2014,"July 03, 2014 at 12:38a.m.",03/07/2014 09:00:00,502
03/07/2014,"July 04, 2014 at 12:22a.m.",04/07/2014 08:38:00,496
04/07/2014,"July 05, 2014 at 01:21a.m.",05/07/2014 09:03:00,462
06/07/2014,"July 07, 2014 at 02:48a.m.",07/07/2014 13:01:00,613
07/07/2014,"July 08, 2014 at 02:20a.m.",08/07/2014 10:36:00,496
08/07/2014,"July 09, 2014 at 01:43a.m.",09/07/2014 12:44:00,661
09/07/2014,"July 09, 2014 at 07:02a.m.",09/07/2014 11:25:00,263
10/07/2014,"July 11, 2014 at 12:01a.m.",11/07/2014 11:35:00,694
11/07/2014,"July 12, 2014 at 01:16a.m.",12/07/2014 09:26:00,490
12/07/2014,"July 12, 2014 at 11:48p.m.",13/07/2014 10:53:00,665
13/07/2014,"July 14, 2014 at 01:19a.m.",14/07/2014 11:49:00,630
14/07/2014,"July 14, 2014 at 11:02a.m.",14/07/2014 18:24:00,442
15/07/2014,"July 16, 2014 at 03:53a.m.",16/07/2014 12:32:00,519
16/07/2014,"July 17, 2014 at 01:50a.m.",17/07/2014 10:43:00,533
17/07/2014,"July 18, 2014 at 12:27a.m.",18/07/2014 07:20:00,413
18/07/2014,"July 19, 2014 at 03:49a.m.",19/07/2014 22:40:00,1131
19/07/2014,"July 20, 2014 at 05:00a.m.",20/07/2014 11:40:00,400
20/07/2014,"July 21, 2014 at 02:48a.m.",21/07/2014 08:30:00,342
21/07/2014,"July 22, 2014 at 12:33a.m.",22/07/2014 08:43:00,490
22/07/2014,"July 23, 2014 at 01:09a.m.",23/07/2014 10:30:00,561
23/07/2014,"July 24, 2014 at 01:27a.m.",24/07/2014 10:30:00,543
24/07/2014,"July 25, 2014 at 02:32a.m.",25/07/2014 11:14:00,522
25/07/2014,"July 26, 2014 at 12:54a.m.",26/07/2014 10:56:00,602
26/07/2014,"July 27, 2014 at 05:24a.m.",27/07/2014 12:14:00,410
27/07/2014,"July 28, 2014 at 02:00a.m.",28/07/2014 14:11:00,731
28/07/2014,"July 29, 2014 at 02:23a.m.",29/07/2014 13:55:00,692
