x,y
122.25,136.562
122.5,187.726
126,149.628
131.4375,148.534
130,115.92
138.25,203.594
139.75,208.424
137.5625,152.132
134.6875,282.616
128,319.944
127.375,179.044
124,227.292
123.625,187.888
116.125,126.622
120,177.34
117.3125,283.538
122,165.738
134.875,221.874
141.9375,179.668
142.1875,139.338
146,206.572
147.75,174.998
146.76559,87.274
145.5,117.17
139.5625,149.612
141.5,88.104
141.75,105.976
141.25,137.388
140.625,145.336
150,207.044
145.5625,158.262
142.125,167.83
130,180.998
124.875,234.218
128.875,205.714
127.625,130.652
126,121.764
124.5,90.68
128.25,47.732
127.875,86.43
124.1875,117.064
118.5,255.204
114,231.042
106.5625,617.54
127.375,741.222
127.125,204.656
128.25,183.388
133.5,154.842
133.375,151.294
138,208.592
142.6875,195.802
140.75,105.984
138.75,129.22
139.375,127.448
139.25,110.786
136.625,118.898
136.75,140.226
129.75,110.732
130,87.778
133.0625,92.874
131.5625,122.162
136.875,108.336
137.75,95.026
138,89.534
137.5,81.458
133.8125,68.57
129.75,74.36
133.75,81.428
135.25,66.944
138,111.618
134.125,110.382
131.375,149.116
130.5625,157.056
130,184.88
134.375,146.106
140,196.438
139.6875,138.956
131.5,390.806
126.75,271.846
124.5,150.518
124,110.914
117.9375,354.73
119.25,275.356
117.75,190.886
114.75,355.158
109.375,369.882
109.375,175.642
110.2343,129.096
108.1875,111.204
109.375,110.57
107.5,133.41
107.5,116.428
108.25,96.426
112.4375,169.608
112.125,85.992
112,120.256
112.375,101.458
106.0625,141.322
102.75,599.946
97,275.554
97.25,138.798
91.875,251.216
90.75,256.78
88.75,187.76
90.625,196.896
86,233.144
87.5,259.938
88.75,385.552
73.5625,922.44
66.75,634.412
60.375,563.486
61.625,310.402
56.125,588.99
54.25,598.876
60.125,343.298
63.75,255.882
62.0937,157.726
64.25,236.062
61.7968,201.602
57,197.966
58.4375,147.924
55.625,169.002
60,230.116
67,345.24
69.25,292.108
70.5625,203.818
70.4375,142.512
69.125,138.898
70.625,160.114
62.875,267.21
61.75,191.962
59.125,193.432
59.5,139.594
60,161.912
56.5,135.73
55.5,215.164
51.375,184.484
48,499.502
43,431.832
42.25,197.024
45,248.384
40.5,293.908
39.25,350.394
39.625,339.382
41.125,401.726
39.3125,299.976
44,307.148
42.9375,325.598
36.2187,551.362
37.125,491.84
37.0625,710.388
39.5,792.758
38.625,336.404
35.9062,208.998
34,404.48
34,316.976
31.9687,361.316
28.375,448.628
28.25,277.944
29.875,283.474
34,375.362
31.5,220.454
31.75,243.746
31.1875,208.934
30.375,219.392
32.5625,499.366
32.1875,350.518
31.375,268.674
27.5,261.652
30.5625,430.972
31.25,543.042
26.625,1329.268
26.875,505.756
28.4375,320.59
31.75,669.39
34.75,579.254
36.0625,409.798
35.75,255.126
39,347.832
43.375,572.948
42.8125,442.492
38.625,244.626
40.375,188.19
41.75,187.76
41.0625,224.586
38.1875,201.132
36.625,218.162
35.9843,194.484
36.5,207.52
35.6875,195.416
33.875,282.898
30.5,230.272
30,180.944
29.75,217.688
28.9375,228.152
32.5,403.586
30,192.906
29.875,265.734
28.25,234.932
27.75,461.596
25.5,281.554
25.9375,247.006
25.625,199.616
25.125,203.47
24.4375,218.602
23.75,214.832
22.875,175.13
24.4375,207.736
22,104.988
17.75,1187.282
17.3125,280.988
17.5,328.44
17.2031,297.666
16,211.91
16.125,163.754
15.0625,246.68
